===== BUILDER EXACT ERRORS 1-250 =====
lib/adaptive-program-builder.ts(62,15): error TS2459: Module '"./constraint-engine"' declares 'ConstraintResult' locally, but it is not exported.
lib/adaptive-program-builder.ts(1764,3): error TS2300: Duplicate identifier 'weekAdaptationDecision'.
lib/adaptive-program-builder.ts(7891,5): error TS2322: Type 'number | "10-20" | "20-30" | "30-45" | "45-60" | "60+"' is not assignable to type 'number'.
lib/adaptive-program-builder.ts(7893,5): error TS2322: Type 'string | null' is not assignable to type 'number | null'.
lib/adaptive-program-builder.ts(7894,5): error TS2322: Type 'string | null' is not assignable to type 'number | null'.
lib/adaptive-program-builder.ts(7895,38): error TS2551: Property 'weightedPullUpWeight' does not exist on type 'BuilderCanonicalProfile'. Did you mean 'weightedPullUp'?
lib/adaptive-program-builder.ts(7895,88): error TS2551: Property 'weightedPullUpWeight' does not exist on type 'BuilderCanonicalProfile'. Did you mean 'weightedPullUp'?
lib/adaptive-program-builder.ts(7896,35): error TS2339: Property 'weightedDipWeight' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(7896,82): error TS2339: Property 'weightedDipWeight' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(8007,7): error TS2322: Type 'string | null' is not assignable to type 'string'.
lib/adaptive-program-builder.ts(8014,79): error TS2339: Property 'name' does not exist on type 'string'.
lib/adaptive-program-builder.ts(8058,44): error TS2551: Property 'sessionDurationMinutes' does not exist on type 'BuilderCanonicalProfile'. Did you mean 'sessionDurationMode'?
lib/adaptive-program-builder.ts(8162,50): error TS18048: 'bundleData.progressScore' is possibly 'undefined'.
lib/adaptive-program-builder.ts(8427,23): error TS2554: Expected 2 arguments, but got 1.
lib/adaptive-program-builder.ts(8432,9): error TS2322: Type '{ blocked: boolean; reason: string; }' is not assignable to type 'boolean'.
lib/adaptive-program-builder.ts(8691,7): error TS2322: Type 'MaterialSkillIntentEntry[]' is not assignable to type '{ skill: string; weeklyTargetMinutes: number; minimumViableMinutes: number; expressionPriority: number; isRepresented: boolean; isSupportExpressed: boolean; isSupportRotational: boolean; isDeferred: boolean; deferralReason: string | null; }[]'.
lib/adaptive-program-builder.ts(8695,7): error TS2322: Type 'Record<string, { currentWorkingProgression: string | null; historicalCeiling: string | null; truthSource: string; isConservative: boolean; }>' is not assignable to type 'Record<string, { progressionId: string; currentLevel: number; }>'.
lib/adaptive-program-builder.ts(8699,7): error TS2322: Type '{ skill: string; reasonCode: DeferralReasonCode; reasonLabel: string; }[]' is not assignable to type '{ skill: string; reason: string; }[]'.
lib/adaptive-program-builder.ts(8700,7): error TS2322: Type 'MultiSkillSessionAllocationEntry[]' is not assignable to type '{ skill: string; allocated: boolean; }[]'.
lib/adaptive-program-builder.ts(8713,21): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8714,7): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8715,14): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8716,21): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8720,88): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8720,152): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8728,30): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8729,22): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8730,35): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8731,17): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8748,93): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8773,28): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8774,20): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8775,33): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8776,31): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8777,36): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8778,28): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8779,30): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8780,22): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8796,22): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8797,28): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8798,20): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8799,33): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8800,31): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8801,30): error TS18047: 'postAllocationOwnerBridge' is possibly 'null'.
lib/adaptive-program-builder.ts(8956,90): error TS2339: Property 'representationType' does not exist on type 'WeeklySkillExpressionDecision'.
lib/adaptive-program-builder.ts(8957,79): error TS2339: Property 'representationType' does not exist on type 'WeeklySkillExpressionDecision'.
lib/adaptive-program-builder.ts(8958,80): error TS2339: Property 'representationType' does not exist on type 'WeeklySkillExpressionDecision'.
lib/adaptive-program-builder.ts(9072,7): error TS2345: Argument of type '{ skill: string; weeklyTargetMinutes: number; minimumViableMinutes: number; expressionPriority: number; isRepresented: boolean; isSupportExpressed: boolean; isSupportRotational: boolean; isDeferred: boolean; deferralReason: string | null; }[]' is not assignable to parameter of type 'MaterialSkillIntentEntry[]'.
lib/adaptive-program-builder.ts(9344,9): error TS2322: Type 'string | null' is not assignable to type 'string'.
lib/adaptive-program-builder.ts(9347,9): error TS2322: Type 'string | null' is not assignable to type 'string'.
lib/adaptive-program-builder.ts(9351,81): error TS2339: Property 'name' does not exist on type 'string'.
lib/adaptive-program-builder.ts(9512,7): error TS2322: Type 'string[] | null' is not assignable to type '{ id: string; name: string; }[] | null'.
lib/adaptive-program-builder.ts(10106,8): error TS18048: 'flexibleWeekStructure.rootCauseAudit.jointCautionPenalty' is possibly 'undefined'.
lib/adaptive-program-builder.ts(10108,9): error TS18047: 'flexibleWeekStructure' is possibly 'null'.
lib/adaptive-program-builder.ts(10187,35): error TS2339: Property 'identifiedLimiters' does not exist on type 'ExpandedAthleteContext'.
lib/adaptive-program-builder.ts(10276,5): error TS2322: Type 'PrimaryGoal | undefined' is not assignable to type 'string | null'.
lib/adaptive-program-builder.ts(10279,37): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(10283,26): error TS2367: This comparison appears to be unintentional because the types '"pull_bar" | "dip_bars" | "rings" | "parallettes" | "bands" | "floor" | "wall" | "bench"' and '"dumbbells"' have no overlap.
lib/adaptive-program-builder.ts(10283,47): error TS2367: This comparison appears to be unintentional because the types '"pull_bar" | "dip_bars" | "rings" | "parallettes" | "bands" | "floor" | "wall" | "bench"' and '"weighted_vest"' have no overlap.
lib/adaptive-program-builder.ts(10283,72): error TS2367: This comparison appears to be unintentional because the types '"pull_bar" | "dip_bars" | "rings" | "parallettes" | "bands" | "floor" | "wall" | "bench"' and '"kettlebell"' have no overlap.
lib/adaptive-program-builder.ts(10285,20): error TS2365: Operator '<=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(10285,52): error TS2365: Operator '<=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(10285,85): error TS2365: Operator '<=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(10441,21): error TS2339: Property 'sessionStylePreference' does not exist on type 'ExpandedAthleteContext'.
lib/adaptive-program-builder.ts(10442,5): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'number'.
lib/adaptive-program-builder.ts(10447,39): error TS2339: Property 'sessionStylePreference' does not exist on type 'ExpandedAthleteContext'.
lib/adaptive-program-builder.ts(10476,5): error TS2322: Type 'string | number' is not assignable to type 'number'.
lib/adaptive-program-builder.ts(10479,37): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(10481,5): error TS2322: Type 'PrimaryGoal | undefined' is not assignable to type 'string | null'.
lib/adaptive-program-builder.ts(10486,37): error TS2339: Property 'warmupMinutes' does not exist on type 'DurationConfig'.
lib/adaptive-program-builder.ts(10487,43): error TS2339: Property 'warmupExerciseCount' does not exist on type 'DurationConfig'.
lib/adaptive-program-builder.ts(10488,39): error TS2339: Property 'cooldownMinutes' does not exist on type 'DurationConfig'.
lib/adaptive-program-builder.ts(10489,41): error TS2339: Property 'cooldownExercises' does not exist on type 'DurationConfig'.
lib/adaptive-program-builder.ts(10490,38): error TS2339: Property 'accessorySlots' does not exist on type 'DurationConfig'.
lib/adaptive-program-builder.ts(10535,7): error TS2345: Argument of type 'PrimaryGoalType | null' is not assignable to parameter of type 'OnboardingGoal | null'.
lib/adaptive-program-builder.ts(10602,7): error TS2353: Object literal may only specify known properties, and 'preferredRepRange' does not exist in type 'OutcomeTrainingStyle'.
lib/adaptive-program-builder.ts(11163,23): error TS2367: This comparison appears to be unintentional because the types 'RecoveryLevel' and '"optimal"' have no overlap.
lib/adaptive-program-builder.ts(11164,23): error TS2367: This comparison appears to be unintentional because the types 'RecoveryLevel' and '"good"' have no overlap.
lib/adaptive-program-builder.ts(11165,23): error TS2367: This comparison appears to be unintentional because the types 'RecoveryLevel' and '"suboptimal"' have no overlap.
lib/adaptive-program-builder.ts(11168,5): error TS2322: Type 'string | number' is not assignable to type 'number'.
lib/adaptive-program-builder.ts(11169,26): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"SKIP_TODAY"' have no overlap.
lib/adaptive-program-builder.ts(11170,26): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"REDUCE_INTENSITY"' have no overlap.
lib/adaptive-program-builder.ts(11172,33): error TS2339: Property 'rangeTrainingMode' does not exist on type 'AthleteProfile'.
lib/adaptive-program-builder.ts(11173,66): error TS2339: Property 'goalCategory' does not exist on type 'AthleteProfile'.
lib/adaptive-program-builder.ts(11198,9): error TS2353: Object literal may only specify known properties, and 'internalLabel' does not exist in type 'MethodProfile'.
lib/adaptive-program-builder.ts(11207,7): error TS2322: Type 'null' is not assignable to type 'MethodProfile | undefined'.
lib/adaptive-program-builder.ts(11494,102): error TS2339: Property 'primaryOutcome' does not exist on type 'OnboardingProfile'.
lib/adaptive-program-builder.ts(11495,26): error TS2339: Property 'primaryOutcome' does not exist on type 'OnboardingProfile'.
lib/adaptive-program-builder.ts(11501,19): error TS18047: 'normalizedProfile' is possibly 'null'.
lib/adaptive-program-builder.ts(11501,37): error TS2551: Property 'scheduleMode' does not exist on type 'NormalizedProfile'. Did you mean 'schedule'?
lib/adaptive-program-builder.ts(11502,26): error TS18047: 'normalizedProfile' is possibly 'null'.
lib/adaptive-program-builder.ts(11502,44): error TS2339: Property 'sessionDurationMode' does not exist on type 'NormalizedProfile'.
lib/adaptive-program-builder.ts(11552,5): error TS2322: Type '"planche" | "front_lever" | "back_lever" | "muscle_up" | "iron_cross" | "weighted_strength" | "general" | "hspu" | "l_sit"' is not assignable to type 'SkillType'.
lib/adaptive-program-builder.ts(11584,9): error TS2322: Type 'string' is not assignable to type 'WeekPhaseTag'.
lib/adaptive-program-builder.ts(11777,5): error TS2345: Argument of type 'string | null' is not assignable to parameter of type 'string | undefined'.
lib/adaptive-program-builder.ts(11847,7): error TS2345: Argument of type '"day_contract_mismatch"' is not assignable to parameter of type 'GenerationErrorCode'.
lib/adaptive-program-builder.ts(12024,7): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"SKIP_TODAY"' have no overlap.
lib/adaptive-program-builder.ts(12026,7): error TS2367: This comparison appears to be unintentional because the types '"TRAIN_AS_PLANNED" | "PRESERVE_QUALITY" | "LIGHTEN_SESSION" | "COMPRESS_WEEKLY_LOAD" | undefined' and '"REDUCE_INTENSITY"' have no overlap.
lib/adaptive-program-builder.ts(12027,7): error TS2367: This comparison appears to be unintentional because the types '"TRAIN_AS_PLANNED" | "PRESERVE_QUALITY" | "LIGHTEN_SESSION" | "COMPRESS_WEEKLY_LOAD" | undefined' and '"REDUCE_VOLUME"' have no overlap.
lib/adaptive-program-builder.ts(12035,7): error TS2322: Type '{ volumeBias: BiasLevel; intensityBias: BiasLevel; densityBias: BiasLevel; finisherBias: "normal" | "expanded" | "limited"; straightArmExposureBias: ProtectionLevel; connectiveTissueBias: "normal" | "protected"; restSpacingBias: "normal" | "increased"; } | null' is not assignable to type '{ volumeBias: "reduced" | "normal" | "expanded"; intensityBias: "reduced" | "normal" | "expanded"; densityBias: "reduced" | "normal" | "expanded"; finisherBias: "normal" | "expanded" | "limited"; straightArmExposureBias?: "normal" | ... 1 more ... | undefined; connectiveTissueBias?: "normal" | ... 1 more ... | undef...'.
lib/adaptive-program-builder.ts(12082,7): error TS2345: Argument of type 'SessionWeekAdaptation' is not assignable to parameter of type 'WeekAdaptationInput'.
lib/adaptive-program-builder.ts(12159,3): error TS2353: Object literal may only specify known properties, and 'outerDoctrineRecoveryTracker' does not exist in type 'AdaptiveSessionContext'.
lib/adaptive-program-builder.ts(12191,18): error TS2339: Property 'outerDoctrineRecoveryTracker' does not exist on type 'AdaptiveSessionContext'.
lib/adaptive-program-builder.ts(12350,17): error TS2352: Conversion of type '{ dayNumber: number; focus: DayFocus; warmup: never[]; exercises: { name: string; targetMuscles: any; skillTargets: never[]; sets: number; reps: string; restSeconds: number; notes: string; ... 5 more ...; progressionId: undefined; }[]; ... 7 more ...; _degradedReason: string; }' to type 'AdaptiveSession & { _degraded?: boolean | undefined; _degradedReason?: string | undefined; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
lib/adaptive-program-builder.ts(12483,34): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"SKIP_TODAY"' have no overlap.
lib/adaptive-program-builder.ts(12485,40): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"SKIP_TODAY"' have no overlap.
lib/adaptive-program-builder.ts(12486,40): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"REDUCE_INTENSITY"' have no overlap.
lib/adaptive-program-builder.ts(12521,64): error TS2345: Argument of type 'string[]' is not assignable to parameter of type 'WeakPointType[]'.
lib/adaptive-program-builder.ts(12529,15): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type 'Record<WeakPointType, string>'.
lib/adaptive-program-builder.ts(12572,11): error TS2367: This comparison appears to be unintentional because the types 'TrainingDecision | undefined' and '"REDUCE_INTENSITY"' have no overlap.
lib/adaptive-program-builder.ts(12580,11): error TS2345: Argument of type '{ id: string; name: string; category: string; neuralDemand: number; fatigueCost: number; movementPattern: undefined; isIsometric: boolean; }[]' is not assignable to parameter of type '{ id: string; name: string; category: ExerciseCategory; neuralDemand: number; fatigueCost: number; movementPattern?: string | undefined; isIsometric?: boolean | undefined; }[]'.
lib/adaptive-program-builder.ts(13625,46): error TS2339: Property 'hasCircuitsApplied' does not exist on type '{}'.
lib/adaptive-program-builder.ts(13626,45): error TS2339: Property 'hasDensityApplied' does not exist on type '{}'.
lib/adaptive-program-builder.ts(13756,13): error TS2322: Type '"circuit" | "density_block"' is not assignable to type 'TrainingMethod | undefined'.
lib/adaptive-program-builder.ts(13826,15): error TS2322: Type '"circuit" | "density_block"' is not assignable to type 'TrainingMethod | undefined'.
lib/adaptive-program-builder.ts(14142,9): error TS2322: Type '"cluster"' is not assignable to type 'TrainingMethod | undefined'.
lib/adaptive-program-builder.ts(14341,15): error TS2367: This comparison appears to be unintentional because the types 'TrainingMethod' and '"straight"' have no overlap.
lib/adaptive-program-builder.ts(14386,13): error TS2322: Type '"top_set"' is not assignable to type 'TrainingMethod | undefined'.
lib/adaptive-program-builder.ts(14857,17): error TS2367: This comparison appears to be unintentional because the types 'TrainingMethod' and '"straight"' have no overlap.
lib/adaptive-program-builder.ts(14859,11): error TS2367: This comparison appears to be unintentional because the types '"rest_pause" | "superset" | "density_block" | "drop_set" | "ladder" | "emom" | "cluster_set"' and '"cluster"' have no overlap.
lib/adaptive-program-builder.ts(14864,12): error TS2367: This comparison appears to be unintentional because the types '"rest_pause" | "superset" | "density_block" | "drop_set" | "ladder" | "emom" | "cluster_set"' and '"top_set"' have no overlap.
lib/adaptive-program-builder.ts(14872,12): error TS2367: This comparison appears to be unintentional because the types 'TrainingMethod | undefined' and '"cluster"' have no overlap.
lib/adaptive-program-builder.ts(14993,29): error TS2339: Property 'structureDescription' does not exist on type '{}'.
lib/adaptive-program-builder.ts(15023,7): error TS2322: Type 'string[]' is not assignable to type 'TrainingMethodPreference[]'.
lib/adaptive-program-builder.ts(15060,5): error TS18048: 'session.styleMetadata' is possibly 'undefined'.
lib/adaptive-program-builder.ts(15104,28): error TS18048: 'session.styleMetadata' is possibly 'undefined'.
lib/adaptive-program-builder.ts(15107,7): error TS18048: 'session.styleMetadata' is possibly 'undefined'.
lib/adaptive-program-builder.ts(15123,23): error TS18048: 'session.styleMetadata' is possibly 'undefined'.
lib/adaptive-program-builder.ts(15139,75): error TS2339: Property 'appliedMethods' does not exist on type '{}'.
lib/adaptive-program-builder.ts(15140,29): error TS2339: Property 'appliedMethods' does not exist on type '{}'.
lib/adaptive-program-builder.ts(15142,43): error TS18048: 'session.styleMetadata' is possibly 'undefined'.
lib/adaptive-program-builder.ts(15902,48): error TS2352: Conversion of type '{ dayNumber: number; focus: DayFocus; warmup: never[]; exercises: { name: string; targetMuscles: any; skillTargets: never[]; sets: number; reps: string; restSeconds: number; notes: string; ... 5 more ...; progressionId: undefined; }[]; ... 7 more ...; _degradedReason: string; }' to type 'AdaptiveSession & { _degraded?: boolean | undefined; _degradedReason?: string | undefined; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
lib/adaptive-program-builder.ts(16029,28): error TS2552: Cannot find name 'sessionAssemblyErr'. Did you mean 'getSessionAssemblyError'?
lib/adaptive-program-builder.ts(16029,66): error TS2552: Cannot find name 'sessionAssemblyErr'. Did you mean 'getSessionAssemblyError'?
lib/adaptive-program-builder.ts(16096,46): error TS2352: Conversion of type '{ dayNumber: number; focus: DayFocus; warmup: never[]; exercises: { name: string; targetMuscles: any; skillTargets: never[]; sets: number; reps: string; restSeconds: number; notes: string; ... 5 more ...; progressionId: undefined; }[]; ... 7 more ...; _degradedReason: string; }' to type 'AdaptiveSession & { _degraded?: boolean | undefined; _degradedReason?: string | undefined; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
lib/adaptive-program-builder.ts(16675,32): error TS2365: Operator '>=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(16701,33): error TS2365: Operator '>' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(16701,84): error TS2363: The right-hand side of an arithmetic operation must be of type 'any', 'number', 'bigint' or an enum type.
lib/adaptive-program-builder.ts(16724,24): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16727,17): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16733,24): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16736,17): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16770,26): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16772,19): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(16879,39): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(16967,52): error TS2345: Argument of type 'string[]' is not assignable to parameter of type 'ConstraintCategory'.
lib/adaptive-program-builder.ts(17447,32): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17447,32): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17448,9): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17448,9): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17455,10): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17455,10): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17456,9): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17456,9): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17467,24): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17467,24): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17467,63): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17467,63): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17476,41): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17476,41): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17477,61): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17477,61): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17478,34): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17478,34): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17481,11): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17481,11): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17482,11): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17482,11): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17486,13): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17486,13): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17487,13): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17487,13): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17488,13): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17488,13): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17490,33): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17490,33): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17491,11): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17491,11): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
lib/adaptive-program-builder.ts(17492,11): error TS2448: Block-scoped variable 'truthfulHybridSummary' used before its declaration.
lib/adaptive-program-builder.ts(17492,11): error TS2454: Variable 'truthfulHybridSummary' is used before being assigned.
